/*1 строка - названия n знаков зодиака через пробел, а далее матрица чисел (проценты совместимости) nxn*/
/*строки - женщины, столбцы - мужчины*/
Овен Телец Близнецы Рак Лев Дева Весы Скорпион Стрелец Козерог Водолей Рыбы /*женщины*/
/*Овен*/ 91 72 83 91 99 71 82 72 84 82 100 85
/*Телец*/ 81 87 73 93 91 69 93 60 72 86 82 82
/*Близнецы*/ 72 73 84 77 68 75 93 58 100 71 93 81
/*Рак*/ 81 83 67 83 71 81 78 89 71 82 66 83
/*Лев*/ 97 88 81 82 87 73 89 92 100 83 92 95
/*Дева*/ 84 92 93 84 86 75 85 76 82 85 67 100
/*Весы*/ 83 92 89 94 79 74 91 77 92 81 100 100
/*Скорпион*/ 76 98 93 91 98 98 64 94 100 100 89 100
/*Стрелец*/ 92 81 98 82 90 72 88 92 100 93 100 74
/*Козерог*/ 82 89 82 96 76 61 92 100 79 84 92 93
/*Водолей*/ 82 83 93 84 97 72 96 88 100 82 77 93
/*Рыбы*/ 87 91 82 90 83 67 81 97 71 67 100 100
/*мужчины*/
